"","id","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"1040","8280634","23036297","Philipp","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.168.514.833.990","13.451.342.735.760.800","Entire home/apt",62,2,48,"11/04/17",0.69,1,40
"1041","7625276","39999992","Eric","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.519.165.323.554.600","13.455.692.956.525.700","Private room",34,5,2,"",NA,1,0
"1042","13851115","1456997","Philippa","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.211.674.870.120","13.453.559.370.054.300","Entire home/apt",90,4,3,"03/08/16",0.11,1,66
"1043","15358435","54601187","Uwe","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","525.144.544.325.071","134.658.666.373.862","Entire home/apt",27,1,100,"03/05/17",2.75,7,185
"1044","4165545","13653192","Tiare","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","525.188.607.393.345","1.346.558.881.811.230","Private room",35,1,203,"02/10/16",0.35,1,0
"1045","3837849","15231996","Anett","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.251.986.690.003.560","1.345.764.050.374.840","Private room",33,2,160,"26/09/14",0.09,1,0
"1046","15262702","20520589","Benjamin","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","52.515.979.678.973.900","13.460.378.038.460.300","Entire home/apt",59,2,37,"30/04/17",1.75,1,13
"1047","15882040","10585589","Tim","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.011.368.084.410","13.453.763.673.098.000","Private room",55,2,2,"",NA,1,0
"1048","13522714","5987252","Tim","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.089.173.754.080","13.452.355.672.553.600","Private room",40,2,160,"28/07/16",0.29,1,0
"1049","7278542","33096579","Ines","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.403.598.788.480","13.454.447.880.545.900","Private room",30,3,15,"08/01/17",0.51,1,0
"1050","15031918","12753847","Ziggy","Friedrichshain-Kreuzberg","Frankfurter Allee Nord","5.252.012.110.673.620","13.451.659.863.943.300","Private room",40,1,192,"12/04/17",1.95,1,236
