"","id","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"7344",494884,1397262,"Volkmar","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5247907219883,13.4277884653719,"Entire home/apt",200,3,35,2017-04-17,0.66,2,350
"7345",13994963,2856251,"Milo","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.523867587925,13.4459616562526,"Entire home/apt",46,1,2,2016-07-31,0.21,1,0
"7346",10831574,4832569,"Julia","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5210867027385,13.4509129485067,"Private room",32,1,2,2016-10-03,0.21,1,0
"7347",18047185,50668265,"Rachel","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5187095130136,13.4471140528211,"Private room",16,10,0,NA,NA,1,0
"7348",9766201,18868048,"Malek","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5210568863029,13.4313574118053,"Private room",25,1,1,2015-12-13,0.06,2,0
"7349",13650011,4673357,"Carö","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5186520601988,13.433615274202,"Private room",25,1,23,2017-04-28,2.21,1,38
"7350",7817176,41154962,"Patrick","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5168272458069,13.447198655813,"Private room",31,6,0,NA,NA,1,65
"7351",9913293,8113360,"Priscila","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5194040856778,13.4511550008469,"Entire home/apt",50,5,4,2017-01-20,0.25,1,9
"7352",16335593,58371352,"Sven","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5199030728333,13.447036959596,"Private room",20,1,8,2017-03-28,1.85,2,12
"7353",15062517,77323631,"Amber","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5183237062253,13.448265365536,"Private room",29,1,0,NA,NA,1,364
"7354",12140137,7816001,"Enrico","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5179552114134,13.4463170546886,"Private room",30,7,0,NA,NA,1,0
"7355",5391267,27946309,"Michael","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.516627550724,13.451692286021,"Entire home/apt",50,7,18,2017-02-15,0.78,1,314
"7356",8207874,43281326,"Rieke","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5237283995391,13.428386520808,"Private room",20,10,0,NA,NA,2,0
"7357",9584746,49613896,"Lucy","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5201119360086,13.4479328527067,"Private room",27,15,0,NA,NA,2,0
"7358",14893008,66220021,"Adrianna","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5231936270416,13.4486981318082,"Private room",38,1,2,2016-09-22,0.25,1,362
"7359",18506109,31638704,"Stefan","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5252590675935,13.4218205442112,"Private room",26,1,0,NA,NA,1,311
"7360",4732406,13122693,"Claudia","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5232695527244,13.4472071596173,"Entire home/apt",55,1,19,2017-04-15,1.83,1,339
"7361",9518186,42149492,"Anika","Friedrichshain-Kreuzberg","Karl-Marx-Allee-Nord",52.5186047333741,13.4432990593276,"Private room",25,2,9,2016-07-10,0.55,1,0
